Neuron,SpikeTimes
1,19.9
1,29.8666666666667
1,44.7333333333333
1,55.0333333333333
1,85.8
1,129.1
1,141.266666666667
1,161.533333333333
1,201.3
1,237.433333333333
1,312.2
1,357.033333333333
1,372.1
1,388.5
1,414.5
1,444.966666666667
1,458.266666666667
1,476.1
1,481.666666666667
1,510.166666666667
1,541.4
1,550.833333333333
1,555.233333333333
1,658.833333333333
1,676.733333333333
1,780.3
1,792.966666666667
1,802.266666666667
1,814.066666666667
1,832.966666666667
1,859.666666666667
1,941.933333333333
1,955.7
1,974.3
1,988.8
1,1061.13333333333
1,1208.26666666667
1,1236.03333333333
1,1257.46666666667
1,1278.3
1,1302.23333333333
1,1304.66666666667
1,1331.06666666667
1,1352.5
1,1374.63333333333
1,1412.66666666667
1,1452.13333333333
1,1474.76666666667
1,1504.9
1,1508.63333333333
1,1525.4
1,1537.1
1,1634.43333333333
1,1673.63333333333
1,1703.06666666667
1,1729.16666666667
1,1754.53333333333
1,1776.3
1,1786.5
1,1807.66666666667
1,1856.5
1,1883.96666666667
1,1905.7
1,1935.5
1,1968.6
1,1987.26666666667
1,2017.53333333333
1,2030
1,2060.2
1,2097.6
1,2194.76666666667
1,2210.93333333333
1,2228.16666666667
1,2334.4
1,2342.23333333333
1,2373.93333333333
1,2384.1
1,2400.83333333333
1,2412.8
1,2428.63333333333
1,2544.03333333333
1,2569.46666666667
1,2630.1
1,2644.2
1,2651.36666666667
1,2670.83333333333
1,2742.9
1,2821.56666666667
1,2853.8
1,2865.2
1,2876.83333333333
1,2897.36666666667
1,2941.1
1,2950.16666666667
1,2954.56666666667
1,2960.63333333333
1,2973.73333333333
1,3038.6
1,3045.46666666667
1,3092
1,3100.16666666667
1,3138.43333333333
1,3193
1,3337.23333333333
1,3347.16666666667
1,3358.1
1,3362.23333333333
1,3374.7
1,3376.96666666667
1,3390.03333333333
1,3399.33333333333
1,3408.43333333333
1,3411.1
1,3413.86666666667
1,3422.03333333333
1,3449.26666666667
1,3562.43333333333
1,3573.73333333333
1,3595.2
1,3609.1
1,3632.86666666667
1,3695.16666666667
1,3707.46666666667
1,3782.53333333333
1,3790.13333333333
1,3802.2
1,3814.93333333333
1,3824.33333333333
1,3847.23333333333
1,3869.13333333333
1,3939.7
1,4036.46666666667
1,4058.7
1,4067.4
1,4084.76666666667
1,4125.33333333333
1,4136.16666666667
1,4173.83333333333
1,4197.73333333333
1,4228.1
1,4310.86666666667
1,4324.26666666667
1,4329.93333333333
1,4343.06666666667
1,4535.36666666667
1,4541.43333333333
1,4546.5
1,4558.26666666667
1,4577.5
1,4596.23333333333
1,4651.16666666667
1,4665.63333333333
1,4700.33333333333
1,4800.36666666667
1,4831.5
1,4913.33333333333
1,4944.93333333333
1,5061.5
1,5065.96666666667
1,5078.4
1,5099.6
1,5105.23333333333
1,5116.8
1,5281.93333333333
1,5292.7
1,5318.96666666667
1,5332.6
1,5344.43333333333
1,5357.66666666667
1,5379.26666666667
1,5516.66666666667
1,5531.5
1,5539.3
1,5565.6
1,5601.3
1,5611.06666666667
1,5619.43333333333
1,5627
1,5650.36666666667
1,5686
1,5709.5
1,5730.43333333333
1,5744.83333333333
1,5765
1,5778.03333333333
1,5800.13333333333
1,5821.3
1,5839.83333333333
1,5843.5
1,5854.06666666667
1,5878.56666666667
1,5925.5
1,5962.06666666667
1,5980.56666666667
1,5994.76666666667
1,6001.06666666667
1,6031.76666666667
1,6044.23333333333
1,6063.66666666667
1,6079.83333333333
1,6090.6
1,6120.5
1,6144
1,6153.36666666667
1,6157.16666666667
1,6167.66666666667
1,6191.3
1,6235.5
1,6265.03333333333
1,6277.13333333333
1,6291.66666666667
1,6298.56666666667
1,6336.5
1,6351
1,6389.7
1,6406.46666666667
1,6416.26666666667
1,6440.96666666667
1,6490.06666666667
1,6516.53333333333
1,6527.76666666667
1,6543.5
1,6565.4
1,6598.96666666667
1,6621.13333333333
1,6646.36666666667
1,6660.13333333333
1,6699.6
1,6723.96666666667
1,6729.53333333333
1,6749.26666666667
1,6779.03333333333
1,6796.66666666667
1,6812.4
1,6839.06666666667
1,6896.03333333333
1,6910.1
1,6931.2
1,6945.43333333333
1,6958.5
1,7026.76666666667
1,7052.86666666667
1,7079.43333333333
1,7122.93333333333
1,7140.83333333333
1,7144.8
1,7161.6
1,7204.66666666667
1,7229.4
1,7346.46666666667
1,7365.86666666667
1,7386.26666666667
1,7422.43333333333
1,7438.43333333333
1,7449.76666666667
1,7453.5
1,7520.73333333333
1,7571.86666666667
1,7609.03333333333
1,7620.6
1,7641.1
1,7660.8
1,7674
1,7733.2
1,7740.13333333333
1,7751.76666666667
1,7755.66666666667
1,7771.93333333333
1,7837.5
1,7854.7
1,7879.73333333333
1,7890.56666666667
1,7924.13333333333
1,7962.96666666667
1,7981.53333333333
1,8001.56666666667
1,8079.66666666667
1,8117.73333333333
1,8149.9
1,8165.43333333333
1,8205.4
1,8333.63333333333
1,8343.33333333333
1,8398.33333333333
1,8471.43333333333
1,8491.1
1,8512.8
1,8530.2
1,8549.86666666667
1,8590.83333333333
1,8641.26666666667
1,8700.76666666667
1,8711.66666666667
1,8721.03333333333
1,8778.06666666667
1,8828.26666666667
1,8845.16666666667
1,8864.4
1,8897.6
1,8956.13333333333
1,8961.86666666667
1,8981.6
1,9111.86666666667
1,9124.53333333333
1,9127.76666666667
1,9163.16666666667
1,9180.66666666667
1,9200.63333333333
1,9257.4
1,9271.03333333333
1,9298.63333333333
1,9308.53333333333
1,9333.7
1,9355.46666666667
1,9376.96666666667
1,9406.83333333333
1,9415.73333333333
1,9475.06666666667
1,9546.96666666667
1,9557.1
1,9566.46666666667
1,9642.9
1,9663.03333333333
1,9689.5
1,9815.63333333333
1,9837.9
1,9867.73333333333
1,9879.83333333333
1,9915.8
1,9989.5
1,9995.93333333333
1,10007
1,10020.6
1,10120.4666666667
1,10204.2666666667
1,10221.9
1,10261.7333333333
1,10276.6
1,10290.1666666667
1,10295.3
1,10307.4666666667
1,10323.7333333333
1,10344.3
1,10356.3666666667
1,10377.1
1,10391.7666666667
1,10428.9
1,10451.5333333333
1,10476.9666666667
1,10523.5666666667
1,10559.9
1,10650.5666666667
1,10662.2666666667
1,10723.4333333333
1,10732.5333333333
1,10748.0333333333
1,10827.1666666667
1,10871.9
1,10893.3
1,10955.2666666667
1,11025.6333333333
1,11037.7333333333
1,11051.5333333333
1,11072.3333333333
1,11086.0333333333
1,11096.3
1,11118.6333333333
1,11182.1333333333
1,11264.7
1,11307.6
1,11340.5666666667
1,11403.3333333333
1,11422.1666666667
1,11455.8
1,11517.0666666667
1,11574.7333333333
1,11590.3333333333
1,11652.9333333333
1,11690
1,11711.5666666667
1,11731.2333333333
1,11745.7
1,11819.7333333333
1,11832.6
1,11932.8333333333
1,11944.6
1,11955.8333333333
1,11959.7
1,11976.5666666667
1,12044.3333333333
1,12051.0333333333
1,12131
1,12148.4333333333
1,12154.2666666667
1,12168.8333333333
1,12213.7333333333
1,12258.9
1,12287.5333333333
1,12302.4
1,12312.9333333333
1,12326.6333333333
1,12340.0666666667
1,12392.4
1,12428.9
1,12441.9333333333
1,12559.6666666667
1,12578.3666666667
1,12584.9333333333
1,12595.4666666667
1,12629.2666666667
1,12649.1
1,12661.8666666667
1,12734.8666666667
1,12750.2333333333
1,12782.3
1,12805.9666666667
1,12828.3
1,12865.1333333333
1,12900.1
1,12922.9333333333
1,12970.2333333333
1,12994.9
1,13010.4333333333
1,13036.5666666667
1,13172.6
1,13196.9333333333
1,13218.2
1,13235.8333333333
1,13314.1
1,13353.8666666667
1,13356.2
1,13391.5333333333
1,13396.3
1,13422.7
1,13447.9666666667
1,13460.3
1,13500.4
1,13573.3333333333
1,13592.3
1,13614.6666666667
1,13630.0666666667
1,13649.1333333333
1,13656.4
1,13678.0666666667
1,13749.8333333333
1,13775.6
1,13792.0333333333
1,13795.6333333333
1,13856.6333333333
1,13893.8
1,13920.9666666667
1,13947.4666666667
1,13959.9666666667
1,13972.3
1,13992.5666666667
1,14029.3333333333
1,14142.4
1,14191.9
1,14212.5333333333
1,14226.2333333333
1,14249.4333333333
1,14264.3333333333
1,14271.9333333333
1,14330.8666666667
1,14354.7333333333
1,14413.3666666667
1,14422.1333333333
1,14433.0333333333
1,14442.1
1,14469.4666666667
1,14499.0666666667
1,14503.6333333333
1,14559.3666666667
1,14567.9333333333
1,14586.5333333333
1,14594.1
1,14661.6
1,14705.5666666667
1,14750.5
1,14777.1
1,14808.9666666667
1,14824.1
1,14838
1,14849.5333333333
1,14873.9
1,14882.3
1,14915.1
1,14931.2333333333
1,14948.4333333333
1,14961.2666666667
1,14972.9
1,14976
1,15051.7
1,15058.9
1,15061.5
1,15092.5666666667
1,15112.5333333333
1,15126.5
1,15158.3
1,15180.3666666667
1,15184.2333333333
1,15203.9333333333
1,15311.6333333333
1,15320.5
1,15333.1666666667
1,15352.7
1,15398.8666666667
1,15412.6666666667
1,15473.8
1,15490.0333333333
1,15494.2333333333
1,15512.8666666667
1,15536.4333333333
1,15540.2333333333
1,15739
1,15776.5666666667
1,15808.4666666667
1,15821.9
1,15842.9666666667
1,15880.1
1,15892.7333333333
1,15917.4333333333
1,15933.3
1,15942.6666666667
1,15951.8333333333
1,15955.8333333333
1,15964.5
1,15974.7333333333
1,15997.7333333333
1,16051.2
1,16085.8666666667
1,16108.6
1,16116.1
1,16133.7
1,16179.6333333333
1,16191.1
1,16208
1,16239.5333333333
1,16249.0666666667
1,16341.4
1,16406.7
1,16426.5333333333
1,16440.9
1,16452.9333333333
1,16460.6333333333
1,16472.6333333333
1,16484.8666666667
1,16518.4666666667
1,16560.3333333333
1,16636.0333333333
1,16643.6666666667
1,16663.0666666667
1,16737.3333333333
1,16755.0666666667
1,16767.5
1,16776.9666666667
1,16790.7
1,16822
1,16868.2333333333
1,16871.1333333333
1,16961.2333333333
1,16969.2333333333
1,17001.5333333333
1,17024.1333333333
1,17035.1
1,17057.8333333333
1,17124.1666666667
1,17139.2
1,17156.4666666667
1,17169.7
1,17182.4333333333
1,17259.5333333333
1,17288.6333333333
1,17307.1333333333
1,17317.1333333333
1,17475.6333333333
1,17495.4
1,17498.3
1,17516.0333333333
1,17526.9333333333
1,17640.8666666667
1,17652.6666666667
1,17665.2666666667
1,17668.0333333333
1,17677.1
1,17689.5
1,17719.7
1,17746.8
1,17784.1666666667
1,17786.6333333333
1,17806.1333333333
1,17908.4666666667
1,17952.2
1,18058.3333333333
1,18082.5
1,18094.8333333333
1,18117.3333333333
1,18258.9
1,18280.6666666667
1,18290.6666666667
1,18328.3333333333
1,18369.0666666667
1,18433.0333333333
1,18437.7666666667
1,18515.6333333333
1,18526.0666666667
1,18543.4666666667
1,18560.6
1,18624.3333333333
1,18732.9666666667
1,18761.7
1,18840
1,18858
1,18876.6333333333
1,18883.5
1,18894.8
1,18899.4
1,18906.8333333333
1,18912.5333333333
1,18962.2333333333
1,19014.3666666667
1,19030.2333333333
1,19061.9
1,19065.5333333333
1,19109.2
1,19131.2
1,19142.3
1,19165.3
1,19217.0333333333
1,19381.2333333333
1,19397.6666666667
1,19404.6666666667
1,19411.3666666667
1,19415.3666666667
1,19438.2666666667
1,19448.8333333333
1,19451.2666666667
1,19452.7666666667
1,19464.5666666667
1,19478.1333333333
1,19613.5666666667
1,19619.2333333333
1,19665.3666666667
1,19707.3666666667
1,19727.0666666667
1,19749.6666666667
1,19753.4333333333
1,19778.3333333333
1,19870.9
1,19879.8333333333
1,19973.5333333333
1,19987.8666666667
1,19990.0333333333
1,19998.0333333333
1,20074.2333333333
1,20148.4666666667
1,20158.7666666667
1,20165.0333333333
1,20178.3
1,20194.5
1,20214.0666666667
1,20273.0666666667
1,20286.8
1,20308.0333333333
1,20333.0666666667
1,20352.3666666667
1,20359.2
1,20413.6666666667
1,20437.5666666667
1,20566.6333333333
1,20570.2333333333
1,20587.5666666667
1,20590.6
1,20610.1
1,20670.2333333333
1,20688.2666666667
1,20692.9666666667
1,20711.3333333333
1,20746.6333333333
1,20846.3333333333
1,20851.9333333333
1,20932.7666666667
1,20989.4
1,21099.2
1,21110.6
1,21114.4333333333
1,21143.7666666667
1,21204.8333333333
1,21347.2333333333
1,21387.7333333333
1,21545.1
1,21555.5333333333
1,21684.6333333333
1,21697.7333333333
1,21762.1
1,21772.1333333333
1,21778.9666666667
1,21801.2
1,21807.8666666667
1,21944.3333333333
1,21946.6666666667
1,21966.4666666667
1,22066.3333333333
1,22115.9333333333
1,22122.9
1,22133.7666666667
1,22183.5666666667
1,22196.5
1,22211.1333333333
1,22230.6666666667
1,22240.1333333333
1,22253.4333333333
1,22258.7666666667
1,22290.2333333333
1,22319.4333333333
1,22415.3666666667
1,22430.9
1,22446.3
1,22466.4666666667
1,22470.5333333333
1,22495.1666666667
1,22514.8666666667
1,22542.4
1,22554.4
1,22577.8
1,22701.0333333333
1,22760.7333333333
1,22769.3
1,22781.3333333333
1,22835.4
1,22840.7666666667
1,22862.8
1,22885.2333333333
1,22977.6
1,22982.2666666667
1,22992.2333333333
1,23125.6333333333
1,23143.6333333333
1,23259.9666666667
1,23268.7666666667
1,23326.1
1,23367.4333333333
1,23392.1
1,23481.6
1,23512.8
1,23531.4
1,23544.2
1,23548.9666666667
1,23585.5333333333
1,23617.3333333333
1,23619.6
1,23635.3
1,23651.5666666667
1,23723.1
1,23769.8333333333
1,23789.6333333333
1,23802.1333333333
1,23807.4666666667
1,23817.5
1,23821.4333333333
1,23830.4
1,23859.4333333333
1,23900.7
1,23925.1
1,23928.8666666667
1,23944.5666666667
1,23955.0333333333
1,23961.9333333333
1,23970.2
1,23975.8666666667
1,23977.4666666667
1,23985.6666666667
1,24003.8666666667
1,24034.0666666667
1,24149.3333333333
1,24168.2333333333
1,24194.9666666667
1,24264.4333333333
1,24297.0333333333
1,24307.5333333333
1,24312.7333333333
1,24317.5333333333
1,24325.0333333333
1,24343.8666666667
1,24353.7
1,24359.8
1,24367.8333333333
1,24390.6666666667
1,24408.1
1,24446.2333333333
1,24481.0333333333
1,24552.2
1,24573.8666666667
1,24647.8333333333
1,24666.9
1,24736.3333333333
1,24748.8
1,24755.2666666667
1,24782.7333333333
1,24794.7666666667
1,24849.9333333333
1,24865.2333333333
1,24890.9666666667
1,24903.4333333333
1,24914.9333333333
1,24922.1333333333
1,24996.9333333333
1,25037.7333333333
1,25061.0333333333
1,25077.7666666667
1,25097.4
1,25120.9
1,25146.7
1,25163.3333333333
1,25168.1333333333
1,25299.6666666667
1,25303.3
1,25331.7333333333
1,25337.4333333333
1,25405.7
1,25431.0333333333
1,25446.8
1,25458.7666666667
1,25484.0333333333
1,25552.3333333333
1,25566.3
1,25582.6333333333
1,25588.4666666667
1,25593.9333333333
1,25700.2333333333
1,25716.6666666667
1,25759.8
1,25762.3333333333
1,25825.9666666667
1,25835.9
1,25894.4
1,25900.6666666667
1,25908.6666666667
1,25912.5
1,25931.9
1,25948.5333333333
1,26052.9666666667
1,26095.4333333333
1,26107.7333333333
1,26118.7333333333
1,26142.8
1,26162.4333333333
1,26173.8333333333
1,26189.9
1,26222.4333333333
1,26231.4666666667
1,26235.2666666667
1,26258.0333333333
1,26270.1
1,26334.1
1,26357.0666666667
1,26370.4333333333
1,26393.6333333333
1,26409.9333333333
1,26425.4666666667
1,26442.2333333333
1,26498.9
1,26509.2333333333
1,26514
1,26526.5
1,26532.8666666667
1,26538.8333333333
1,26552.8666666667
1,26575.4666666667
1,26609.7333333333
1,26647.3333333333
1,26651.4
1,26708.4333333333
1,26725
1,26745.5666666667
1,26793.3666666667
1,26867.6
1,26903.5333333333
1,26913.0666666667
1,26949.5
1,26983.4333333333
1,27001
1,27011.5666666667
1,27028.6333333333
1,27039.9666666667
1,27061.2333333333
1,27075.7666666667
1,27117.2
1,27186.5666666667
1,27219.5333333333
1,27232.2666666667
1,27251.3
1,27279.8
1,27299.6
1,27321.6666666667
